"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage""Inbetriebnahmedatum der KWK-Anlage""Elektrische KWK-Leistung""Thermische Nutzleistung in kW"
"SEE919288176331";"WP Nieder 10031 100121";"In Betrieb";"Wind";"3075";"3075";"22.8.2014";"18.11.2019";"Rheinland-Pfalz";"67822";"Münsterappel";"";"";"Münsterappel";"Flur 0: 1817, 1818";"07333049";"49,733478";"7,905592";"";"";"WP Niederhausen";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"16.6.2021";"";"";"Windpark Niederhausen GmbH & Co. KG";"ABR945167589237";"Volleinspeisung";"SGE908531565770";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Hochspannung";"SEL928466810639";"EEG908313989695";"E3025401WEA00UWALSENZ370000000008";"22.8.2014";"";""""""""
"SEE994593844144";"WEA03 - 300760 - JNE003";"In Betrieb";"Wind";"3200";"3200";"22.4.2015";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 48/26";"07140036";"50,198952";"7,553221";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG921974418465";"E31238010000000000000031300806130";"22.4.2015";"";""""""""
"SEE942375659868";"WEA04 - 300555 - JNE004";"In Betrieb";"Wind";"3200";"3200";"18.6.2014";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 48/26";"07140036";"50,199441";"7,559958";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG946860271696";"E31238010000000000000031300806126";"18.6.2014";"";""""""""
"SEE932982789690";"WEA05 - 300553 - JNE005";"In Betrieb";"Wind";"3200";"3200";"31.5.2014";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 48/26";"07140036";"50,199154";"7,569533";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG962164551562";"E31238010000000000000031300806127";"31.5.2014";"";""""""""
"SEE964315061487";"WEA06 - 300554 - JNE006";"In Betrieb";"Wind";"3200";"3200";"5.6.2014";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 48/26";"07140036";"50,196715";"7,563485";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG918499825366";"E31238010000000000000031300806125";"5.6.2014";"";""""""""
"SEE936498825965";"WEA07 - 300556 - JNE007";"In Betrieb";"Wind";"3200";"3200";"25.6.2014";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 48/26";"07140036";"50,196857";"7,572795";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG973238123554";"E31238010000000000000031300806124";"25.6.2014";"";""""""""
"SEE973415438587";"WEA08 - 300761 - JNE008";"In Betrieb";"Wind";"3200";"3200";"11.5.2015";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 56";"07140036";"50,19391";"7,567813";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG937336231788";"E31238010000000000000031300806131";"11.5.2015";"";""""""""
"SEE930188618073";"WEA09 - 300762 - JNE009";"In Betrieb";"Wind";"3200";"3200";"7.5.2015";"18.11.2019";"Rheinland-Pfalz";"56281";"Emmelshausen";"";"";"Kratzenburg/1805";"Flur 1, Flurstück 70";"07140036";"50,191366";"7,570788";"";"";"WP Kolbenstein";"143";"114";"Senvion Deutschland GmbH";"3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 17. Betriebs KG";"ABR908524593582";"Volleinspeisung";"SGE909963212720";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL976103589660";"EEG930758992626";"E31238010000000000000031300806134";"7.5.2015";"";""""""""
"SEE992892842380";"MOR WEA 01";"In Betrieb";"Wind";"3600";"3600";"21.4.2021";"23.4.2021";"Rheinland-Pfalz";"67808";"Mörsfeld";"";"";"Mörsfeld";"Flur0: 2064-1";"07333046";"49,728904";"7,930957";"";"";"Mörsfeld";"141";"116,8";"Nordex Energy GmbH";"Nordex N117/3600";"";"";"Horizontalläufer";"Windkraft an Land";"11.6.2021";"";"";"EWI Mörsfeld GmbH & Co. KG";"ABR950493146467";"Volleinspeisung";"SGE926740436346";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL998583595276";"EEG933431273173";"E3025401WEA0004100071060000019369";"21.4.2021";"WIN18-4/057";""""""""
"SEE954236036428";"MOR WEA 02";"In Planung";"Wind";"3600";"3600";"";"19.11.2019";"Rheinland-Pfalz";"67808";"Mörsfeld";"";"";"Mörsfeld";"Flur 0, Flurstück 619";"07333046";"49,73238";"7,92864";"";"";"Mörsfeld";"134";"116,8";"Nordex Energy GmbH";"Nordex N117/3600 TS 134";"";"";"Horizontalläufer";"Windkraft an Land";"23.12.2021";"";"30.6.2023";"EWI Mörsfeld GmbH & Co. KG";"ABR950493146467";"Volleinspeisung";"SGE953031931440";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"";"Mittelspannung";"";"";"";"";"";""""""""
"SEE974940830792";"MOR WEA 03";"In Betrieb";"Wind";"3600";"3600";"16.4.2021";"23.4.2021";"Rheinland-Pfalz";"67808";"Mörsfeld";"";"";"Mörsfeld";"Flur0: 609";"07333046";"49,733111";"7,937484";"";"";"Mörsfeld";"141";"116,8";"Nordex Energy GmbH";"Nordex N117/3600";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"EWI Mörsfeld GmbH & Co. KG";"ABR950493146467";"Volleinspeisung";"SGE926740436346";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL998583595276";"EEG978420568441";"E3025401WEA0004100071060000019371";"16.4.2021";"WIN18-4/057";""""""""
"SEE951014036441";"HER01 - 231679 - JNE018";"In Betrieb";"Wind";"3450";"3450";"27.3.2020";"8.4.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-8";"07235112";"49,685469";"6,92274";"";"";"WP Rascheid Am Rotbach 3";"149";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL910169616885";"EEG938856714164";"";"27.3.2020";"WIN18-3/051";""""""""
"SEE964732185827";"HER02 - 229020 - JNE019";"In Betrieb";"Wind";"3450";"3450";"11.2.2020";"21.2.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-8";"07235112";"49,681379";"6,91924";"";"";"WP Rascheid Am Rotbach 3";"149";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL910169616885";"EEG948627890102";"";"11.2.2020";"WIN18-3/051";""""""""
"SEE926057008953";"HER03 -229019 - JNE020";"In Betrieb";"Wind";"3450";"3450";"28.1.2020";"5.2.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-8";"07235112";"49,679362";"6,925285";"";"";"WP Rascheid Am Rotbach 3";"149";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL953850637189";"EEG915962852379";"";"28.1.2020";"WIN18-3/051";""""""""
"SEE901733012561";"HER04 - 229021 - JNE021";"In Betrieb";"Wind";"3450";"3450";"11.3.2020";"19.3.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-8";"07235112";"49,678228";"6,919749";"";"";"WP Rascheid Am Rotbach 3";"137";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL910169616885";"EEG992658207064";"";"11.3.2020";"WIN18-3/051";""""""""
"SEE957863394442";"HER05 -229018 - JNE022";"In Betrieb";"Wind";"3450";"3450";"30.12.2019";"9.1.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-8";"07235112";"49,680137";"6,928362";"";"";"WP Rascheid Am Rotbach 3";"149";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL917151382834";"EEG944228578746";"";"30.12.2019";"WIN18-3/051";""""""""
"SEE954979117439";"HER06 - 229017 - JNE023";"In Betrieb";"Wind";"3450";"3450";"20.12.2019";"9.1.2020";"Rheinland-Pfalz";"54413";"Rascheid";"";"";"Rascheid";"Flur 14: 11-9";"07235112";"49,677011";"6,92348";"";"";"WP Rascheid Am Rotbach 3";"149";"126";"Vestas Deutschland GmbH";"V126-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.10.2021";"";"";"JWP Jade Windpark GmbH & Co. 20. Betriebs KG";"ABR951932196005";"Volleinspeisung";"SGE998787568830";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL948757520245";"EEG990181781303";"";"20.12.2019";"WIN18-3/051";""""""""
"SEE929320817849";"V-208971";"In Betrieb";"Wind";"2000";"2000";"25.12.2015";"21.11.2019";"Rheinland-Pfalz";"66869";"Kusel";"";"";"Wahnwegen";"FS 705,706";"07336055";"49,49355";"7,360808";"";"";"Wahnwegen Teil II";"105";"90";"Vestas Deutschland GmbH";"V90";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2021";"";"";"PROKON Windpark Wahnwegen I Teil 2 GmbH & Co. KG";"ABR943783225621";"Volleinspeisung";"SGE980453736698";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL972682083391";"EEG952892980451";"E3025401WEA0004100033770000013556";"25.12.2015";"";""""""""
"SEE934326106309";"27319";"In Betrieb";"Wind";"2000";"2000";"29.12.2007";"22.11.2019";"Rheinland-Pfalz";"54298";"Eisenach";"";"";"Eisenach";"Flur 16:3";"07232218";"49,849572";"6,528277";"";"";"Eisenach I";"105";"90";"Vestas Deutschland GmbH";"V90";"";"";"Horizontalläufer";"Windkraft an Land";"16.8.2020";"";"";"Windpark Eisenach 2007 GmbH & Co. KG";"ABR901495265151";"Volleinspeisung";"SGE944705204878";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL966251936560";"EEG932125544063";"E31238010000000000000003309412930";"29.12.2007";"";""""""""
"SEE966389680014";"824465";"In Betrieb";"Wind";"2300";"2300";"1.6.2012";"22.11.2019";"Rheinland-Pfalz";"55471";"Kümbdchen";"";"";"Kümbdchen";"Flur1: 57";"07140077";"50,003414";"7,519857";"";"";"Külz II";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"26.11.2019";"";"";"Windpark GmbH & Co. Külz II KG";"ABR905520989142";"Volleinspeisung";"SGE961943197502";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL989997524860";"EEG998171035320";"E31238010000000000000019878140147";"1.6.2012";"";""""""""
"SEE971090492061";"27320";"In Betrieb";"Wind";"2000";"2000";"28.12.2007";"22.11.2019";"Rheinland-Pfalz";"54298";"Eisenach";"";"";"Eisenach";"Flur 16: Flurstück 19/1";"07232218";"49,846834";"6,5264";"";"";"Eisenach I";"105";"90";"Vestas Deutschland GmbH";"V90 - 2,0 MW";"";"";"Horizontalläufer";"Windkraft an Land";"12.10.2021";"";"";"Windpark Eisenach 2007 GmbH & Co. KG";"ABR901495265151";"Volleinspeisung";"SGE978807257623";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL966251936560";"EEG926384974150";"E31238010000000000000003309444520";"28.12.2007";"";""""""""
"SEE928247846741";"Mehring 702233";"In Betrieb";"Wind";"2000";"2000";"11.4.2005";"23.11.2019";"Rheinland-Pfalz";"54317";"Herl";"Bergstraße";"4";"";"";"07235044";"49,763008";"6,845557";"";"";"Mehring WP";"113,5";"70";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"14.9.2021";"";"";"juwi Beteiligungs GmbH & Co. Naturpower 10 KG";"ABR952141544755";"Volleinspeisung";"SGE970849404607";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL994240003986";"EEG964338813988";"E3123801V000000000000004229018714";"11.4.2005";"";""""""""
"SEE958733677054";"Mehring 702234";"In Betrieb";"Wind";"2000";"2000";"17.6.2005";"23.11.2019";"Rheinland-Pfalz";"54317";"Herl";"Bergstraße";"";"";"";"07235044";"49,761096";"6,847882";"";"";"Mehring WP";"113,5";"70";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"10.9.2021";"";"";"juwi Beteiligungs GmbH & Co. Naturpower 10 KG";"ABR952141544755";"Volleinspeisung";"SGE970849404607";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL994240003986";"EEG922327099874";"E3123801V000000000000004229018715";"17.6.2005";"";""""""""
"SEE923892586134";"V-41437";"In Betrieb";"Wind";"2000";"2000";"31.3.2011";"25.11.2019";"Rheinland-Pfalz";"66869";"Kusel";"";"";"Herschweiler-Pettersheim";"FS 994";"07336055";"49,493047";"7,357079";"";"";"Wahnwegen";"105";"90";"Vestas Deutschland GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2020";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"SGE925900019009";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL972682083391";"EEG919203464208";"E30254010000000000005234430229628";"31.3.2011";"";""""""""
"SEE945170061324";"V-41436";"In Betrieb";"Wind";"2000";"2000";"10.3.2011";"25.11.2019";"Rheinland-Pfalz";"66869";"Kusel";"";"";"Wahnwegen";"FS 692";"07336006";"49,493163";"7,36553";"";"";"Wahnwegen";"105";"90";"Vestas Deutschland GmbH";"V90";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2020";"";"";"PROKON Regenerative Energien eG";"ABR989393706204";"Volleinspeisung";"SGE986622530890";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL972682083391";"EEG924778160707";"E30254010000000000005234430229629";"10.3.2011";"";""""""""
"SEE908651864463";"NX70466 - KIRZ1";"In Betrieb";"Wind";"1500";"1500";"6.2.2009";"25.11.2019";"Rheinland-Pfalz";"54441";"Kirf";"";"";"Kirf";"Flur 1, Flurstück 20";"07235062";"49,56117";"6,473158";"";"";"Windpark Kirf";"85";"77";"Nordex SE";"S77";"";"";"Horizontalläufer";"Windkraft an Land";"18.2.2021";"";"";"WEAG Windpark Saargau GmbH & Co. KG";"ABR900105714355";"Volleinspeisung";"SGE996317785290";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL992887177138";"EEG966653851805";"E31238010000000000000075007458464";"6.2.2009";"";""""""""
"SEE985825240667";"Weiersbach 15541263";"In Betrieb";"Wind";"1500";"1500";"16.7.2003";"27.11.2019";"Rheinland-Pfalz";"55779";"Leitzweiler";"";"";"Weiersbach";"Flur 17: 83";"07134051";"49,599367";"7,222215";"";"";"Erste Onshore Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Weiersbach KG";"85";"77";"GE Wind Energy GmbH";"1,5 sl";"";"";"Horizontalläufer";"Windkraft an Land";"26.5.2020";"";"";"Erste Onshore Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Weiersbach KG";"ABR928427873956";"Volleinspeisung";"SGE925649797657";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL983726299425";"EEG952437748898";"E31280100000000000000000251322342";"16.7.2003";"";""""""""
"SEE989503773362";"Weiersbach 15541262";"In Betrieb";"Wind";"1500";"1500";"8.7.2003";"27.11.2019";"Rheinland-Pfalz";"55779";"Leitzweiler";"";"";"Weiersbach";"Flur 07: 056,057";"07134051";"49,595623";"7,213314";"";"";"Erste Onshore Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Weiersbach KG";"85";"77";"GE Wind Energy GmbH";"1,5 sl";"";"";"Horizontalläufer";"Windkraft an Land";"27.11.2019";"";"";"Erste Onshore Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Weiersbach KG";"ABR928427873956";"Volleinspeisung";"SGE922582167875";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL953529801705";"EEG946076593315";"";"8.7.2003";"";""""""""
"SEE912369026495";"823622";"In Betrieb";"Wind";"2300";"2300";"17.6.2011";"28.11.2019";"Rheinland-Pfalz";"54426";"Heidenburg";"";"";"Heidenburg";"7, Flurstück: 29";"07231204";"49,784017";"6,938028";"";"";"WINDPOOL Heidenburg GmbH & Co. KG";"138";"82";"ENERCON GmbH";"E82";"";"";"Horizontalläufer";"Windkraft an Land";"29.9.2021";"";"";"WINDPOOL Heidenburg GmbH & Co. KG";"ABR947390780115";"Volleinspeisung";"SGE948914763362";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL955935479035";"EEG900748552314";"E31238010000000000000015228514816";"17.6.2011";"";""""""""
"SEE983789962021";"823623";"In Betrieb";"Wind";"2300";"2300";"29.6.2011";"28.11.2019";"Rheinland-Pfalz";"54426";"Heidenburg";"";"";"Berglicht";"11, Flurstück: 9";"07231204";"49,777017";"6,953028";"";"";"WINDPOOL Heidenburg GmbH & Co. KG";"138";"82";"ENERCON GmbH";"E82";"";"";"Horizontalläufer";"Windkraft an Land";"29.9.2021";"";"";"WINDPOOL Heidenburg GmbH & Co. KG";"ABR947390780115";"Volleinspeisung";"SGE948914763362";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL918849730746";"EEG980887885962";"E31238010000000000000015228514817";"29.6.2011";"";""""""""
"SEE927047215993";"Lampaden KG";"In Betrieb";"Wind";"1500";"1500";"30.12.2001";"28.11.2019";"Rheinland-Pfalz";"54316";"Lampaden";"";"";"Lampaden";"Fl. 12, Fl.St. 1";"07235072";"49";"6";"";"";"WP Lampaden";"65";"70";"Südwind Borsig Energy GmbH";"S70";"";"";"Horizontalläufer";"Windkraft an Land";"4.10.2020";"";"";"Dezentrale Energie Anlagen zweite GmbH & Co. Lampaden KG";"ABR931437948583";"Volleinspeisung";"SGE902242329140";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL922520654191";"EEG984323898660";"E31238010000010170000001432618846";"30.12.2001";"";""""""""
"SEE974965907585";"Feilbingert";"In Betrieb";"Wind";"600";"600";"11.7.2001";"29.11.2019";"Rheinland-Pfalz";"67824";"Feilbingert";"";"";"Feilbingert";"457/1";"07133003";"49,770345";"7,796039";"";"";"Feilbingert";"65";"44";"ENERCON GmbH";"ENERCON E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"18.8.2020";"";"";"Klepzig & Co. Windstrom KG";"ABR979867046868";"Volleinspeisung";"";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL920168257873";"EEG922538972454";"E30254010000000000005230788101704";"11.7.2001";"";""""""""
"SEE965234528259";"Feilbingert";"In Betrieb";"Wind";"600";"600";"12.7.2001";"29.11.2019";"Rheinland-Pfalz";"67824";"Feilbingert";"";"";"Feilbingert";"494/1";"07133003";"49,770811";"7,793545";"";"";"Feilbingert";"65";"44";"ENERCON GmbH";"ENERCON E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"18.8.2020";"";"";"Klepzig & Co. Windstrom KG";"ABR979867046868";"Volleinspeisung";"";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL920168257873";"EEG929226707398";"E30254010000000000005230788104101";"12.7.2001";"";""""""""
"SEE939881846691";"WP Gusterath";"In Betrieb";"Wind";"1300";"1300";"28.12.2000";"29.11.2019";"Rheinland-Pfalz";"54317";"Gusterath";"";"";"Gusterath";"Fl.1, Fl.St.19/3";"07235037";"49";"6";"";"";"WP Gusterath";"68,9";"62";"Nordex Energy GmbH";"N 62";"";"";"Horizontalläufer";"Windkraft an Land";"15.4.2021";"";"";"Eco-Mobilität GmbH & Co. KG";"ABR972136789398";"Volleinspeisung";"SGE998924455948";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL922520654191";"EEG986840093429";"E31238010000010170000001432618844";"28.12.2000";"";""""""""
"SEE997690956512";"6-R";"In Betrieb";"Wind";"2000";"2000";"8.3.2012";"29.11.2019";"Rheinland-Pfalz";"55777";"Berschweiler";"";"";"Berschweiler";"Flur5: 113/9";"07134008";"49,563771";"7,269035";"";"";"Freisener Höhe";"125";"90";"Vestas Deutschland GmbH";"V-90";"";"";"Horizontalläufer";"Windkraft an Land";"20.7.2021";"";"";"Windpark Saar GmbH & Co. Repower KG";"ABR958475037017";"Volleinspeisung";"SGE966272403430";"energis-Netzgesellschaft mbH (SNB976379598847)";"SNB976379598847";"Geprüft";"Mittelspannung";"SEL964293773099";"EEG921920081842";"E3302101V1I4461000000000041909343";"8.3.2012";"";""""""""
"SEE973836484675";"WKA-Hambuch";"In Betrieb";"Wind";"800";"800";"8.6.2010";"29.11.2019";"Rheinland-Pfalz";"56761";"Hambuch";"Eulgemer Straße";"905 Z";"";"";"07135038";"50,2348";"7,185411";"";"";"Windpark-Hambuch";"73";"53";"ENERCON GmbH";"E-53";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2021";"";"";"Werner Tempelmann Verwaltungs GmbH & Co. KG, p.A. Werner Tempelmann";"ABR932326345803";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL964808568738";"EEG911973412625";"E31238010000000000000011693445364";"8.6.2010";"";""""""""
"SEE997395019253";"Windenergie";"In Betrieb";"Wind";"296,703";"296,703";"25.8.1995";"1.12.2019";"Rheinland-Pfalz";"54655";"Steinborn";"Auf der Held";"";"";"";"07232313";"50,066911";"6,62288";"";"";"Auf der Held";"41";"31";"Südwind Borsig Energy GmbH";"S3127";"";"";"Horizontalläufer";"Windkraft an Land";"1.12.2019";"";"";"natürliche Person (ABR991760132516)";"ABR991760132516";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Mittelspannung";"SEL905308670170";"EEG910547362182";"";"25.8.1995";"";""""""""
